timestamp,side,angle_deg,p50,p95,risk,stroke_count,phase
1759092508.021065,unknown,nan,nan,nan,OK,0,Warmup
1759092508.053747,unknown,nan,nan,nan,OK,0,Warmup
1759092508.087522,unknown,nan,nan,nan,OK,0,Warmup
1759092508.120543,unknown,nan,nan,nan,OK,0,Warmup
1759092508.153376,unknown,nan,nan,nan,OK,0,Warmup
1759092508.187156,unknown,nan,nan,nan,OK,0,Warmup
1759092508.22081,unknown,nan,nan,nan,OK,0,Warmup
1759092508.273134,left,158.5524444580078,158.5524444580078,158.5524444580078,Overextension risk,0,Warmup
1759092508.32687,unknown,nan,158.5524444580078,158.5524444580078,Overextension risk,0,Warmup
1759092508.369177,left,170.81680297851562,164.68462371826172,170.20358505249024,Overextension risk,0,Warmup
1759092508.426958,unknown,nan,164.68462371826172,170.20358505249024,Overextension risk,0,Warmup
1759092508.4682722,unknown,nan,164.68462371826172,170.20358505249024,Overextension risk,0,Warmup
1759092508.5364301,left,160.31890869140625,160.31890869140625,169.7670135498047,Overextension risk,0,Warmup
1759092508.586665,left,155.02174377441406,159.43567657470703,169.24211883544922,Overextension risk,0,Warmup
1759092508.626765,unknown,nan,159.43567657470703,169.24211883544922,Overextension risk,0,Warmup
1759092508.66889,left,163.16273498535156,160.31890869140625,169.2859893798828,Overextension risk,0,Warmup
1759092508.7272398,left,166.62310791015625,161.7408218383789,169.76837921142578,Overextension risk,0,Warmup
1759092508.7585769,left,160.38510131835938,160.38510131835938,169.5586944580078,Overextension risk,0,Warmup
1759092508.791893,left,158.54306030273438,160.3520050048828,169.34900970458983,Overextension risk,0,Warmup
1759092508.8252008,left,159.8980255126953,160.31890869140625,169.1393249511719,Overextension risk,0,Warmup
1759092508.89205,left,161.95053100585938,160.3520050048828,168.9296401977539,Overextension risk,0,Warmup
1759092508.9251142,left,159.8235626220703,160.31890869140625,168.71995544433594,Overextension risk,0,Warmup
1759092508.958584,left,153.31468200683594,160.10846710205078,168.51027069091796,Overextension risk,0,Warmup
1759092508.991912,left,155.3113555908203,159.8980255126953,168.3005859375,Overextension risk,0,Warmup
1759092509.025176,left,165.73403930664062,160.10846710205078,168.09090118408204,Overextension risk,0,Warmup
1759092509.091766,left,165.91629028320312,160.31890869140625,167.88121643066407,Overextension risk,0,Warmup
1759092509.125037,left,167.7063751220703,160.3520050048828,168.48398208618164,Overextension risk,0,Warmup
1759092509.1577868,left,167.8642578125,160.38510131835938,168.45476684570312,Overextension risk,0,Warmup
1759092509.1916642,left,169.70477294921875,161.16781616210938,169.87157745361327,Overextension risk,0,Warmup
1759092509.226026,left,170.39797973632812,161.95053100585938,170.4398620605469,Overextension risk,0,Warmup
1759092509.258542,left,171.80044555664062,162.55663299560547,170.86598510742186,Overextension risk,0,Warmup
1759092509.291452,left,171.96961975097656,163.16273498535156,171.80044555664062,Overextension risk,0,Warmup
1759092509.32513,left,172.8025665283203,164.4483871459961,171.96116104125977,Overextension risk,0,Warmup
1759092509.374929,left,164.3011016845703,164.3011016845703,171.95270233154298,Overextension risk,0,Warmup
1759092509.4083872,left,167.5979461669922,165.01757049560547,171.94424362182616,Overextension risk,0,Warmup
1759092509.4420328,left,162.98545837402344,164.3011016845703,171.93578491210937,Overextension risk,0,Warmup
1759092509.475023,left,149.65545654296875,163.73191833496094,171.92732620239258,Overextension risk,0,Warmup
1759092509.5087302,left,134.67242431640625,163.16273498535156,171.9188674926758,Overextension risk,0,Warmup
1759092509.541556,left,150.1265869140625,163.0740966796875,171.910408782959,Overextension risk,0,Warmup
1759092509.5749388,left,160.2548065185547,162.98545837402344,171.90195007324218,Overextension risk,0,Warmup
1759092509.631928,left,150.93820190429688,162.4679946899414,171.89349136352538,Overextension risk,0,Warmup
1759092509.674937,left,159.92642211914062,161.95053100585938,171.8850326538086,Overextension risk,0,Warmup
1759092509.708079,left,153.1349639892578,161.16781616210938,171.8765739440918,Overextension risk,0,Warmup
1759092509.741769,left,163.65818786621094,161.95053100585938,171.868115234375,Overextension risk,0,Warmup
1759092509.7757618,left,165.49049377441406,162.4679946899414,171.8596565246582,Overextension risk,0,Warmup
1759092509.8248131,right,170.8223876953125,162.98545837402344,171.8511978149414,Overextension risk,0,Warmup
1759092509.8579998,right,169.05113220214844,163.0740966796875,171.8427391052246,Overextension risk,0,Warmup
1759092509.891953,right,170.42591857910156,163.16273498535156,171.83428039550782,Overextension risk,0,Warmup
1759092509.9259672,right,171.78445434570312,163.41046142578125,171.82582168579103,Overextension risk,0,Warmup
1759092509.958603,left,168.32235717773438,163.65818786621094,171.8173629760742,Overextension risk,0,Warmup
1759092509.991889,left,166.6221466064453,163.97964477539062,171.80890426635742,Overextension risk,0,Warmup
1759092510.025665,left,164.07044982910156,164.07044982910156,171.80044555664062,Overextension risk,0,Warmup
1759092510.058721,left,164.39816284179688,164.18577575683594,171.79964599609374,Overextension risk,0,Warmup
1759092510.091836,left,156.40467834472656,164.07044982910156,171.79884643554686,Overextension risk,0,Warmup
1759092510.125754,right,163.26332092285156,163.86431884765625,171.798046875,Overextension risk,0,Warmup
1759092510.175089,right,147.5658416748047,163.65818786621094,171.79724731445313,Overextension risk,0,Warmup
1759092510.208645,right,143.45480346679688,163.46075439453125,171.79644775390625,Overextension risk,0,Warmup
1759092510.242971,right,138.4927215576172,163.26332092285156,171.79564819335937,Overextension risk,0,Warmup
1759092510.275319,right,127.86054992675781,163.21302795410156,171.7948486328125,Overextension risk,0,Warmup
1759092510.697738,right,99.01310729980469,163.16273498535156,171.79404907226564,Overextension risk,1,Warmup
1759092510.742313,right,135.48301696777344,163.0740966796875,171.79324951171876,Overextension risk,1,Warmup
1759092510.775618,right,127.19256591796875,162.98545837402344,171.79244995117188,Overextension risk,1,Warmup
1759092510.809071,right,138.53775024414062,162.4679946899414,171.791650390625,Overextension risk,1,Warmup
1759092510.8433359,right,158.5844268798828,161.95053100585938,171.7908508300781,Overextension risk,1,Warmup
